Latest: Time (min),Latest: Dissolved O2 (mg/L),Latest: LED (umol photons/m2/s),Latest: S171 Temp (V) (V),Latest: Temperature (°C)
8.916666667,2.006855912,50.67924255,1.315307617,22.67506729
8.933333333,2.007122038,50.67924255,1.315460205,22.67242925
8.95,2.007920416,50.72093414,1.315307617,22.67506729
8.966666667,2.006057534,50.63755096,1.315078735,22.67902499
8.983333333,2.00499303,50.67924255,1.315078735,22.67902499
9,2.004460778,50.59585938,1.315078735,22.67902499
9.016666667,2.004460778,50.59585938,1.315078735,22.67902499
9.033333333,2.0036624,50.67924255,1.315231323,22.67638644
9.05,2.004460778,50.63755096,1.315231323,22.67638644
9.066666667,2.005259156,50.63755096,1.315383911,22.67374823
9.083333333,2.00632366,50.55416779,1.315307617,22.67506729
9.1,2.005791408,50.63755096,1.315536499,22.67111036
9.116666667,2.005791408,50.63755096,1.315460205,22.67242925
9.133333333,2.007122038,50.67924255,1.315460205,22.67242925
9.15,2.005259156,50.59585938,1.315383911,22.67374823
9.166666667,2.005259156,50.72093414,1.315383911,22.67374823
9.183333333,2.007388164,50.67924255,1.315383911,22.67374823
9.2,2.008718794,50.67924255,1.315383911,22.67374823
9.216666667,2.008452668,50.67924255,1.315612793,22.66979156
9.233333333,2.008718794,50.67924255,1.315689087,22.66847284
9.25,2.009783297,50.72093414,1.315689087,22.66847284
9.266666667,2.009251045,50.63755096,1.315460205,22.67242925
9.283333333,2.008718794,50.67924255,1.315689087,22.66847284
9.3,2.009783297,50.80431732,1.315689087,22.66847284
9.316666667,2.009517171,50.72093414,1.315841675,22.66583566
9.333333333,2.010049423,50.63755096,1.315765381,22.66715421
9.35,2.009517171,50.67924255,1.315841675,22.66583566
9.366666667,2.008452668,50.63755096,1.315917969,22.6645172
9.383333333,2.008718794,50.67924255,1.315765381,22.66715421
9.4,2.008452668,50.59585938,1.315460205,22.67242925
9.416666667,2.008718794,50.59585938,1.315689087,22.66847284
9.433333333,2.007920416,50.63755096,1.315765381,22.66715421
9.45,2.00765429,50.63755096,1.315689087,22.66847284
9.466666667,2.007388164,50.59585938,1.315765381,22.66715421
9.483333333,2.008186542,50.55416779,1.315841675,22.66583566
9.5,2.00765429,50.63755096,1.315841675,22.66583566
9.516666667,2.009783297,50.67924255,1.315765381,22.66715421
